ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2008-03-03,5188.45399315,4375.473354337399,5833.580112864762,5188.45399315,5188.45399315,-71.32465503365015,-71.32465503365015,-71.32465503365015,-6.823813586038145,-6.823813586038145,-6.823813586038145,-64.500841447612,-64.500841447612,-64.500841447612,0.0,0.0,0.0,5117.1293381163505
2008-03-04,5181.137070796488,4339.624720047192,5803.763590419239,5181.137070796488,5181.137070796488,-73.0185517485125,-73.0185517485125,-73.0185517485125,2.1662857769901804,2.1662857769901804,2.1662857769901804,-75.18483752550269,-75.18483752550269,-75.18483752550269,0.0,0.0,0.0,5108.1185190479755
2008-03-05,5173.820148442976,4408.117197640882,5841.797168622904,5173.820148442976,5173.820148442976,-80.53545556108831,-80.53545556108831,-80.53545556108831,5.349178819309316,5.349178819309316,5.349178819309316,-85.88463438039761,-85.88463438039761,-85.88463438039761,0.0,0.0,0.0,5093.284692881887
2008-03-06,5166.503226089463,4374.897114028543,5777.235524269052,5166.503226089463,5166.503226089463,-94.66061446057732,-94.66061446057732,-94.66061446057732,1.8606069677580421,1.8606069677580421,1.8606069677580421,-96.52122142833535,-96.52122142833535,-96.52122142833535,0.0,0.0,0.0,5071.842611628886
2008-03-07,5159.18630373595,4275.671806511022,5755.410795338724,5159.18630373595,5159.18630373595,-104.1667830987,-104.1667830987,-104.1667830987,2.848682854177222,2.848682854177222,2.848682854177222,-107.01546595287724,-107.01546595287724,-107.01546595287724,0.0,0.0,0.0,5055.01952063725
2008-03-08,5151.8693813824375,4291.05245414698,5738.231815051774,5151.8693813824375,5151.8693813824375,-118.76328734799749,-118.76328734799749,-118.76328734799749,-1.4743906940656617,-1.4743906940656617,-1.4743906940656617,-117.28889665393181,-117.28889665393181,-117.28889665393181,0.0,0.0,0.0,5033.10609403444
2008-03-09,5144.552459028925,4223.868131527773,5732.248431174689,5144.552459028925,5144.552459028925,-131.19095003216734,-131.19095003216734,-131.19095003216734,-3.926550138137072,-3.926550138137072,-3.926550138137072,-127.26439989403026,-127.26439989403026,-127.26439989403026,0.0,0.0,0.0,5013.361508996758
2008-03-10,5137.235536675413,4209.816707292422,5710.454423721851,5137.235536675413,5137.235536675413,-143.69064371706702,-143.69064371706702,-143.69064371706702,-6.8238135860329265,-6.8238135860329265,-6.8238135860329265,-136.8668301310341,-136.8668301310341,-136.8668301310341,0.0,0.0,0.0,4993.544892958345
2008-03-11,5129.918614321899,4230.149936212402,5722.548517687427,5129.918614321899,5129.918614321899,-143.85725454453151,-143.85725454453151,-143.85725454453151,2.1662857769932984,2.1662857769932984,2.1662857769932984,-146.02354032152482,-146.02354032152482,-146.02354032152482,0.0,0.0,0.0,4986.061359777368
2008-03-12,5122.601691968387,4244.940841209738,5696.94996199899,5122.601691968387,5122.601691968387,-149.31566298663947,-149.31566298663947,-149.31566298663947,5.349178819301649,5.349178819301649,5.349178819301649,-154.66484180594114,-154.66484180594114,-154.66484180594114,0.0,0.0,0.0,4973.286028981747
2008-03-13,5115.284769614875,4244.271506701717,5725.376105882853,5115.284769614875,5115.284769614875,-160.8637992350876,-160.8637992350876,-160.8637992350876,1.8606069677498112,1.8606069677498112,1.8606069677498112,-162.72440620283743,-162.72440620283743,-162.72440620283743,0.0,0.0,0.0,4954.420970379787
2008-03-14,5107.967847261362,4193.4641646254695,5693.970777051058,5107.967847261362,5107.967847261362,-167.29094117508555,-167.29094117508555,-167.29094117508555,2.84868285419091,2.84868285419091,2.84868285419091,-170.13962402927646,-170.13962402927646,-170.13962402927646,0.0,0.0,0.0,4940.676906086277
2008-03-15,5100.650924907849,4166.467259264835,5639.510908861815,5100.650924907849,5100.650924907849,-178.3263267368209,-178.3263267368209,-178.3263267368209,-1.4743906940690055,-1.4743906940690055,-1.4743906940690055,-176.8519360427519,-176.8519360427519,-176.8519360427519,0.0,0.0,0.0,4922.324598171028
2008-03-16,5093.334002554337,4160.806462163925,5638.064275680508,5093.334002554337,5093.334002554337,-186.73370376008145,-186.73370376008145,-186.73370376008145,-3.926550138141351,-3.926550138141351,-3.926550138141351,-182.80715362194007,-182.80715362194007,-182.80715362194007,0.0,0.0,0.0,4906.600298794255
2008-03-17,5086.017080200824,4170.572533500019,5634.5627068514905,5086.017080200824,5086.017080200824,-194.77959744453182,-194.77959744453182,-194.77959744453182,-6.823813586035305,-6.823813586035305,-6.823813586035305,-187.95578385849652,-187.95578385849652,-187.95578385849652,0.0,0.0,0.0,4891.237482756293
